Key,Source,Context,Max Line Width,English,Francais,German
flagstoneGroupDesc,blocks,Block,,Flagstone is not very sturdy but easy to craft early on.,,
furnitureGroupDesc,blocks,Block,,Furniture can make your place look pretty but it usually has little defensive value.,,
garageDoor1Centered,blocks,Block,,Garage Door (Centered),,
genericBlockDesc,blocks,Block,,A world decoration block,,
glassGroupDesc,blocks,Block,,Glass is a wonderful invention that lets light in while keeping the cold wind out.,,
glassBusinessBlock,blocks,Block,,Business Glass Block,,
glassBusinessCTRSheet,blocks,Block,,Business Glass Centered,,
glassBusinessSheet,blocks,Block,,Business Glass Pane,,
glassCTRSheet,blocks,Block,,Glass Pane,,
glassIndustrial02CTRPlate,blocks,Block,,Industrial Glass 2 Centered,,
glassIndustrialCTRPlate,blocks,Block,,Industrial Glass Centered,,
glassShowerBlock,blocks,Block,,Shower Glass Block,,
graveStone1,blocks,Block,,Tomb Stone,,
hayBaleBlock,blocks,Block,,Hay Bale,,
hayBaleBlockDesc,blocks,Block,,Hay bales let you land safely and without breaking any important bones in your body.,,
houseFrontDoor1_v1,blocks,Block,,House Front Door 1,,
houseFrontDoor2_v1,blocks,Block,,House Front Door 2,,
ironBars,blocks,Block,,Iron Bars,,
ironBarsDesc,blocks,Block,,You can see and shoot through iron bars and they offer decent protection.,,
ironDoor1_v1,blocks,Block,,Hard Metal Door,,
ironDoor1_v1Desc,blocks,Block,,Press & hold [activate] to lock it or set a combination. Upgrade & repair with forged iron and a construction tool using the secondary action.,,
ironOre,blocks,Block,,Iron Ore,,
rustyIronTable,blocks,Block,,Iron Table,,
keystoneBlock,blocks,Block,,Land Claim Block,,
keystoneBlockDesc,blocks,Block,,A land claim block can be placed to give the area around it extra protection from other players in PVP.,,
ladderMetal,blocks,Block,,Metal Ladder,,
ladderMetalDesc,blocks,Block,,A metal ladder piece. Face a wall and place the ladder by using the secondary action.,,
ladderWood,blocks,Block,,Wooden Ladder,,
ladderWoodDesc,blocks,Block,,A wooden ladder piece. Face a wall and place the ladder by using the secondary action.,,
leadOre,blocks,Block,,Lead Ore,,
logCabinBlock,blocks,Block,,Log Cabin Wood Block,,
mattress,blocks,Block,,Mattress,,
mattressFlat,blocks,Block,,Mattress,,
mattressHalf,blocks,Block,,Mattress Half,,
metalRivetBlock,blocks,Block,,Riveted Metal Block,,
metalSignLetter_a,blocks,Block,,Metal Sign A,,
metalSignLetter_b,blocks,Block,,Metal Sign B,,
metalSignLetter_c,blocks,Block,,Metal Sign C,,
metalSignLetter_d,blocks,Block,,Metal Sign D,,
metalSignLetter_e,blocks,Block,,Metal Sign E,,
metalSignLetter_f,blocks,Block,,Metal Sign F,,
metalSignLetter_g,blocks,Block,,Metal Sign G,,
metalSignLetter_h,blocks,Block,,Metal Sign H,,
metalSignLetter_i,blocks,Block,,Metal Sign I,,
metalSignLetter_j,blocks,Block,,Metal Sign J,,
metalSignLetter_k,blocks,Block,,Metal Sign K,,
metalSignLetter_l,blocks,Block,,Metal Sign L,,
metalSignLetter_m,blocks,Block,,Metal Sign M,,
metalSignLetter_n,blocks,Block,,Metal Sign N,,
metalSignLetter_o,blocks,Block,,Metal Sign O,,
metalSignLetter_p,blocks,Block,,Metal Sign P,,
metalSignLetter_q,blocks,Block,,Metal Sign Q,,
metalSignLetter_r,blocks,Block,,Metal Sign R,,
metalSignLetter_s,blocks,Block,,Metal Sign S,,
metalSignLetter_t,blocks,Block,,Metal Sign T,,
metalSignLetter_u,blocks,Block,,Metal Sign U,,
metalSignLetter_v,blocks,Block,,Metal Sign V,,
metalSignLetter_w,blocks,Block,,Metal Sign W,,
metalSignLetter_x,blocks,Block,,Metal Sign X,,
metalSignLetter_y,blocks,Block,,Metal Sign Y,,
metalSignLetter_z,blocks,Block,,Metal Sign Z,,
metalTrussingBlock,blocks,Block,,Metal Trussing Block,,
metalTrussingBlockDesc,blocks,Block,,Metal trussing is quite sturdy and can be shot though.,,
mushrooms,blocks,Block,,Mushrooms,,
mushroomsDesc,blocks,Block,,Mushrooms can be safely eaten uncooked or used in several recipes at the campfire.,,
mushroom01,blocks,Block,,Mushrooms,,
mushroom01Desc,blocks,Block,,Mushrooms can be safely eaten uncooked or used in several recipes at the campfire.,,
treeAzalea,blocks,Block,,Wood,,
officeChair01,blocks,Block,,Office Chair,,
oilBarrel,blocks,Block,,Gas Barrel,,
oilBarrelDesc,blocks,Block,,Gas barrels can be crafted into gas cans or shot and blown up for setting a trap. A barrel is worth 600 units of gas.,,
oldChair,blocks,Block,,Wooden Chair,,
painting01,blocks,Block,,Painting Landscape,,
painting02,blocks,Block,,Painting Lakehouse,,
pew_segment01,blocks,Block,,Pew Segment 1,,
pew_segment02,blocks,Block,,Pew Segment 2,,
pew_segment03,blocks,Block,,Pew Segment 3,,
redWoodBlock,blocks,Block,,Red Wood Block,,
plantedAloe3Harvest,blocks,Block,,Aloe Vera Plant,,
plantedAloe3HarvestDesc,blocks,Block,,The Aloe plant can be used to craft aloe cream.,,
plantedChrysanthemum3Harvest,blocks,Block,,Chrysanthemum,,
plantedChrysanthemum3HarvestDesc,blocks,Block,,Chrysanthemum can be used to brew a cool and refreshing red tea.,,
plantedCotton3Harvest,blocks,Block,,Cotton,,
plantedGoldenrod3Harvest,blocks,Block,,Goldenrod Flower,,
plantedGoldenrod3HarvestDesc,blocks,Block,,The goldenrod flower can be used to make goldenrod tea at a campfire.,,
rScrapIronPlate,blocks,Block,,Pressure Plate,,
rScrapIronPlateDesc,blocks,Block,,This one is not going to explode... Probably.,,
rScrapIronPlateMine,blocks,Block,,Pressure Plate Mine,,
rScrapIronPlateMineDesc,blocks,Block,,A primitive pressure plate mine made of scrap iron and gunpowder. Good for hobbling or killing most enemies.,,
railingOldWoodSheet,blocks,Block,,Wood Railing,,
railingGroupDesc,blocks,Block,,A railing is very useful for not falling from high places.,,
railingWoodWhiteSheet,blocks,Block,,White Wood Railing,,
railingMetalSheet,blocks,Block,,Metal Railing,,
railingBlackSheet,blocks,Block,,Black Iron Railing,,
railingWroughtIronSheet,blocks,Block,,Wrought Iron Railing,,
redWoodPillar100,blocks,Block,,Red Wood Pillar 100,,
redWoodStairs25,blocks,Block,,Red Wood Stairs,,
redWoodTable,blocks,Block,,Red Wood Table,,
scrapIronSheet,blocks,Block,,Reinforced Metal Siding,,
rock01,blocks,Block,,Small Stone,,
rock02,blocks,Block,,Small Stone,,
rock03,blocks,Block,,Small Stone,,
rock04,blocks,Block,,Small Stone,,
rock05,blocks,Block,,Small Stone,,
rock06,blocks,Block,,Small Stone,,
rock07,blocks,Block,,Small Stone,,
rock08,blocks,Block,,Small Stone,,
rock09,blocks,Block,,Small Stone,,
rock10,blocks,Block,,Small Stone,,
rock11,blocks,Block,,Small Stone,,
rock12,blocks,Block,,Small Stone,,
sand,blocks,Block,,Sand,,
sandDesc,blocks,Block,,Like rocks... Only much smaller.,,
sandbagsBlock,blocks,Block,,Sandbags,,
scrapIronGrateSheet,blocks,Block,,Scrap Iron Grate,,
scrapIronGrateSheetDesc,blocks,Block,,"Grates are an alternative to iron bars. They offer decent protection, great flexibility in building, and you can fire guns through them. (Upgradable)",,
scrapHatch_v1,blocks,Block,,Scrap Iron Hatch,,
scrapHatch_v1Desc,blocks,Block,,Press & hold [activate] to lock it or set a combination. Upgrade & repair with scrap iron and a construction tool using the secondary action. ,,
scrapIronGroupDesc,blocks,Block,,"While not as sturdy as solid concrete, metal constructions have high structural integrity, requiring fewer support pillars.",,
rScrapIronTable,blocks,Block,,Scrap Iron Table,,
scrapMetalPile,blocks,Block,,Scrap Metal Pile,,
sectionalArm,blocks,Block,,Old Couch Arm,,
sectionalArm2,blocks,Block,,Leather Couch Arm,,
sectionalCorner,blocks,Block,,Old Couch Corner,,
sectionalCorner2,blocks,Block,,Leather Couch Corner,,
sectionalMiddle,blocks,Block,,Old Couch Middle,,
sectionalMiddle2,blocks,Block,,Leather Couch Middle,,
shoppingBasketEmpty,blocks,Block,,Empty Shopping Basket,,
shoppingCartEmpty,blocks,Block,,Empty Shopping Cart,,
snow,blocks,Block,,Snow,,
snowDesc,blocks,Block,,Snow is another source of water. Melt it at a campfire if you have some empty cans or jars.,,
sod,blocks,Block,,Sod,,
sodDesc,blocks,Block,,Mix plant fibers into the dirt to gain toughness. Allow some time to dry.,,
spotlight,blocks,Block,,Mobile Spotlight,,
spotlightDesc,blocks,Block,,A mobile spotlight you can light up your fort or mine. Use a hammer and some nails to secure it.,,
storeShelving01,blocks,Block,,Store Shelves,,
storeShelving01Double,blocks,Block,,Store Shelves Double,,
storeShelving01Top,blocks,Block,,Store Shelves (Top),,
storeShelving01TopDouble,blocks,Block,,Store Shelves Double (Top),,
streetLight01,blocks,Block,,Street Light,,
treePlant02,blocks,Block,,Potted Plant,,
tv,blocks,Block,,TV,,
vaultDoor01,blocks,Block,,Vault Door,,
vaultDoor01Desc,blocks,Block,,Press & hold [activate] to lock or set a combination. Upgrade & repair with forged steel.,,
vaultHatch_v1,blocks,Block,,Vault Hatch,,
vaultHatch_v1Desc,blocks,Block,,Press & hold [activate] to lock or set a combination. Upgrade & repair with forged steel.,,
ventDuctBlock,blocks,Block,,Vent Duct,,
ventDuctBlockDesc,blocks,Block,,Galvanized vent duct.,,
ventDuctRamp,blocks,Block,,Vent Duct Ramp,,
ventDuctRampDesc,blocks,Block,,Galvanized vent duct.,,
wallTorch,blocks,Block,,Torch,,
wedgeBarnShingles,blocks,Block,,Barn Shingles Ramp,,
wedgeMetalRivet,blocks,Block,,Riveted Metal Ramp,,
whitePicketFenceSheet,blocks,Block,,White Picket Fence,,
whitePicketFenceSheetDesc,blocks,Block,,A white picket fence to place in your yard.,,
window02,blocks,Block,,Window 2,,
window03,blocks,Block,,Window 3,,
window03Wood,blocks,Block,,Wood Window,,
woodDebris,blocks,Block,,Wood Debris,,
woodHatch1_v1,blocks,Block,,Wooden Hatch,,
woodHatch1_v1Desc,blocks,Block,,Press & hold [activate] to lock it or set a combination. Upgrade & repair with wood and a construction tool using the secondary action. ,,
woodFenceFarmSheet,blocks,Block,,Wood Farm Fence,,
woodFenceSheet,blocks,Block,,Wood Fence,,
woodFrameBlock,blocks,Block,,Wood Frame,,
woodFrameGroupDesc,blocks,Block,,"Used for bases. Upgrade & repair with wood & a construction tool. Upgrade more with scrap iron, concrete mix & forged steel.",,
woodLogPillar100,blocks,Block,,Wood Log,,
woodLogPillar100Desc,blocks,Block,,Wood logs are good for crude walls to place spikes on top of.,,
woodPillar100,blocks,Block,,Wood Pillar 100,,
woodPillar100Desc,blocks,Block,,A pillar to build a strong fence or a temple.,,
woodPlate,blocks,Block,,Wood Plate,,
woodPole,blocks,Block,,Wooden Pole,,
woodShinglesBlock,blocks,Block,,Wood Shingles,,
woodShinglesCNRFull,blocks,Block,,Wood Shingles Corner,,
woodShinglesPyramid,blocks,Block,,Wood Shingles Pyramid,,
woodShinglesRamp,blocks,Block,,Wood Shingles Ramp,,
woodShinglesGable,blocks,Block,,Wood Shingles Gable,,
woodStairs25,blocks,Block,,Wood Stairs,,
woodSupport,blocks,Block,,Wooden Support Beam,,
woodTable,blocks,Block,,Wood Table,,
wroughtIronFenceSheet,blocks,Block,,Wrought Iron Fence,,
wroughtIronPole,blocks,Block,,Wrought Iron Pole,,
wroughtIronRamp,blocks,Block,,Wrought Iron Ramp,,
cobblestoneFrameBlock,blocks,Block Building,,Cobblestone Frame,,
cobblestoneFrameGroupDesc,blocks,Block Building,,"Used for bases. Upgrade & repair with cobblestone rocks. Upgrade more with scrap iron, concrete mix & forged steel.",,
cobblestoneFrameRamp,blocks,Block Building,,Cobblestone Frame Ramp,,
rebarFrameBlock,blocks,Block Building,,Rebar Frame,,
rebarFrameCNRInside,blocks,Block Building,,Rebar Frame Inner Corner,,
rebarFrameGroupDesc,blocks,Block Building,,"Used for bases. Build with wood, concrete mix and a construction tool using the secondary action. When dry upgrade more with forged steel.",,
rebarFramePillar100,blocks,Block Building,,Rebar Frame Pillar 100,,
rebarFrameRamp,blocks,Block Building,,Rebar Frame Ramp,,
refrigeratorGroupDesc,blocks,Block Building,,If food would ever spoil then it would be a good idea to keep it in here.,,
scrapFrameGroupDesc,blocks,Block Building,,"Used for bases. Upgrade & repair with scrap iron and construction tool. Upgrade more with scrap iron, concrete mix & forged steel.",,
scrapIronFrameBlock,blocks,Block Building,,Scrap Frame,,
scrapIronFrameCNRFull,blocks,Block Building,,Scrap Frame Full Corner,,
scrapIronFrameCNRInside,blocks,Block Building,,Scrap Frame Inner Corner,,
scrapIronFrameRamp,blocks,Block Building,,Scrap Frame Ramp,,
scrapIronFrameWedge,blocks,Block Building,,Scrap Frame Wedge,,
scrapIronStairs25,blocks,Block Building,,Scrap Stairs,,
secureDoorWooden,blocks,Block Building,,Secure Wood Door,,
secureDoorWoodenDesc,blocks,Block Building,,Press & hold [activate] to lock it or set a combination. Upgrade & repair with wood and a construction tool using the secondary action. ,,
woodFrameCNRFull,blocks,Block Building,,Wood Frame Full Corner,,
woodFrameCNRInside,blocks,Block Building,,Wood Frame Inner Corner,,
woodFrameRamp,blocks,Block Building,,Wood Frame Ramp,,
woodFrameWedge,blocks,Block Building,,Wood Frame Wedge,,
plantedYucca3Harvest,blocks,Block Plant,,Yucca Plant,,
plantedYucca3HarvestDesc,blocks,Block Plant,,A yucca plant can be used to make yucca juice.,,
signCampFish,blocks,Block Sign,,Camping & Fishing,,
signCamping,blocks,Block Sign,,Camping,,
signInfoCenter,blocks,Block Sign,,Information Center,,
signNationalPark,blocks,Block Sign,,Navezgane National Park,,
signNoHazardousWaste,blocks,Block Sign,,No Hazardous Waste,,
signRightOnly,blocks,Block Sign,,Right Turn Only,,
signRoadWork,blocks,Block Sign,,Road Work Ahead,,
signRoughSurface,blocks,Block Sign,,Rough Surface Ahead,,
signSchoolZone,blocks,Block Sign,,School Zone,,
signSlow,blocks,Block Sign,,Slow,,
signSpeed25,blocks,Block Sign,,Speed Limit 25,,
signSpeed25noTrucks,blocks,Block Sign,,Speed Limit 25 (No Trucks),,
signSpeed35,blocks,Block Sign,,Speed Limit 35,,
signSpeed45,blocks,Block Sign,,Speed Limit 45,,
signSpeed55,blocks,Block Sign,,Speed Limit 55,,
signSpeed65,blocks,Block Sign,,Speed Limit 65,,
signStop,blocks,Block Sign,,Stop Sign,,
signStop4way,blocks,Block Sign,,4 Way Stop Sign,,
signStreetPrivate,blocks,Block Sign,,Private Road,,
asphalt,blocks,Block Terrain,,Asphalt,,
asphaltDesc,blocks,Block Terrain,,Asphalt is made in a cement mixer and is a common material for building or repairing roads.,,
burntForestGround,blocks,Block Terrain,,Burnt Forest Ground,,
burntForestGroundDesc,blocks,Block Terrain,,Replace missing pieces of terrain in the proper shade of soot.,,
clay,blocks,Block Terrain,,Clay,,
copperOre,blocks,Block Terrain,,Copper Ore,,
destroyedStone,blocks,Block Terrain,,Destroyed Stone,,
dirt,blocks,Block Terrain,,Dirt,,
fertileDirt,blocks,Block Terrain,,Fertile Dirt,,
fertileDirtDesc,blocks,Block Terrain,,Replace missing pieces of terrain. Eventually grass will start growing here.,,
fertileFarmland,blocks,Block Terrain,,Fertile Farmland,,
fertileGrass,blocks,Block Terrain,,Fertile Grass,,
forestGround,blocks,Block Terrain,,Forest Ground,,
forestGroundDesc,blocks,Block Terrain,,Replace missing pieces of terrain in the proper shade of green.,,
grass,blocks,Block Terrain,,Grassy Ground,,
grassDesc,blocks,Block Terrain,,Replace missing pieces of terrain in the proper shade of green. No grass will actually grow on this.,,
gravel,blocks,Block Terrain,,Gravel,,
gravelDesc,blocks,Block Terrain,,This is gravel. Like rocks. Only smaller.,,
ice,blocks,Block Terrain,,Ice,,
plainsGround,blocks,Block Terrain,,Plains Ground,,
plainsGroundDesc,blocks,Block Terrain,,Replace missing pieces of terrain in the proper shade of green.,,
radiated,blocks,Block Terrain,,Radiated Earth,,
sandStone,blocks,Block Terrain,,Sandstone,,
stone,blocks,Block Terrain,,Stone,Caillou,Stein
stoneDesc,blocks,Block Terrain,,Like rocks. Only bigger.,,
airConditioner,blocks,Loot Container,,Air Conditioner,,
cntApacheArtifactChest,blocks,Loot Container,,Apache Artifact Chest,,
cntBackpack01,blocks,Loot Container,,Weathered Backpack,,
cntBackpack02,blocks,Loot Container,,Decomposing Backpack,,
cntBackpack03,blocks,Loot Container,,Moldy Backpack,,
cntBackpackDropped,blocks,Loot Container,,Dropped Backpack,,
cntBeerCooler,blocks,Loot Container,,Beverage Cooler,,
cntBin,blocks,Loot Container,,Small Trash Bin,,
cntBirdnest,blocks,Loot Container,,Birdnest,,
cntBookcase,blocks,Loot Container,,Bookcase,,
cntBookStoreBookcase,blocks,Loot Container,,Bookstore Bookcase,,
cntCabinet,blocks,Loot Container,,Cabinet,,
cntCabinetOldBottom,blocks,Loot Container,,Cupboard,,
cntCabinetOldCNRRound,blocks,Loot Container,,Cabinet Rounded,,
cntCabinetOldSink,blocks,Loot Container,,Old Sink,,
cntCabinetOldTop,blocks,Loot Container,,Cupboard,,
cntCabinetTop,blocks,Loot Container,,Cabinet Top,,
cntCar03Blue,blocks,Loot Container,,Blue Sedan,,
cntCar03BlueDamage1,blocks,Loot Container,,Damaged Blue Sedan,,
cntCar03Red,blocks,Loot Container,,Red Sedan,,
cntCar03RedDamage1,blocks,Loot Container,,Damaged Red Sedan,,
cntCar03White,blocks,Loot Container,,White Sedan,,
cntCar03WhiteDamage1,blocks,Loot Container,,Damaged White Sedan,,
cntCar03Yellow,blocks,Loot Container,,Yellow Sedan,,
cntCar03YellowDamage1,blocks,Loot Container,,Damaged Yellow Sedan,,
cntCardboardBox,blocks,Loot Container,,Cardboard Box,,
cntCashRegister,blocks,Loot Container,,Cash Register,,
cntChest01,blocks,Loot Container,,Wooden Chest,,
cntChest02,blocks,Loot Container,,Chest,,
cntCoffin,blocks,Loot Container,,Coffin,,
cntCooler,blocks,Loot Container,,Cooler,,
cntCorpseLoot01,blocks,Loot Container,,Corpse,,
cntCorpseLoot02,blocks,Loot Container,,Corpse,,
cntDesk01,blocks,Loot Container,,Wooden Desk,,
cntDesk02,blocks,Loot Container,,Iron Desk,,
cntDeskSafe,blocks,Loot Container,,Desk Safe,,
cntDeskSafeInsecure,blocks,Loot Container,,Desk Safe Insecure,,
cntDuffle01,blocks,Loot Container,,Duffle Bag,,
cntDumpster,blocks,Loot Container,,Dumpster,,
cntFileCabinet,blocks,Loot Container,,File Cabinet,,
cntFridge,blocks,Loot Container,,Refrigerator,,
cntFridgeBottom,blocks,Loot Container,,Fridge Bottom,,
cntFridgeTop,blocks,Loot Container,,Refrigerator Top,,
cntGarageStorage,blocks,Loot Container,,Garage Storage,,
cntGasPump,blocks,Loot Container,,Gas Pump,,
cntGraniteSink,blocks,Loot Container,,Sink,,
cntGunSafe,blocks,Loot Container,,Gun Safe,,
cntGunSafeDesc,blocks,Loot Container,,Press & hold [activate] to lock it or set a password.,,
cntGunSafeInsecure,blocks,Loot Container,,Gun Safe Insecure,,
cntLockers,blocks,Loot Container,,Lockers,,
cntLootCrateShamway,blocks,Loot Container,,Shamway Crate,,
cntLootCrateShotgunMessiah,blocks,Loot Container,,Shotgun Messiah Crate,,
cntLootCrateWorkingStiffs,blocks,Loot Container,,Working Stiffs Crate,,
cntMailbox,blocks,Loot Container,,Mailbox,,
cntMailboxDesc,blocks,Loot Container,,If anyone was left to send you mail you would be able to receive it!,,
cntMailBox01,blocks,Loot Container,,Mail Box,,
cntMailBox01Desc,blocks,Loot Container,,If anyone was left to send you mail you would be able to receive it!,,
cntMailBox02,blocks,Loot Container,,Mail Box,,
cntMailBox02Desc,blocks,Loot Container,,If anyone was left to send you mail you would be able to receive it!,,
cntMailBox03,blocks,Loot Container,,Mail Box,,
cntMailBox03Desc,blocks,Loot Container,,If anyone was left to send you mail you would be able to receive it!,,
cntMedicineCabinet,blocks,Loot Container,,Medicine Cabinet,,
cntMountainManStorageChest,blocks,Loot Container,,Mountain Man Chest,,
cntMunitionsBox,blocks,Loot Container,,Munitions Box,,
cntNightstand,blocks,Loot Container,,Night Stand,,
cntOven,blocks,Loot Container,,Oven,,
cntPillCase,blocks,Loot Container,,Pill Case,,
cntPurse01,blocks,Loot Container,,Purse,,
cntSecureStorageChest,blocks,Loot Container,,Secure Storage Chest,,
cntSecureStorageChestDesc,blocks,Loot Container,,Press & hold [activate] to lock it or set a combination.,,
cntShoppingBasket,blocks,Loot Container,,Shopping Basket,,
cntShoppingCart,blocks,Loot Container,,Shopping Cart,,
cntSportsBag01,blocks,Loot Container,,Rotting Sports Bag,,
cntSportsBag02,blocks,Loot Container,,Weathered Sports Bag,,
cntStorageAmmo,blocks,Loot Container,,Storage Ammo,,
cntStorageAmmoInsecure,blocks,Loot Container,,Storage Ammo Insecure,,
cntStorageBuilding,blocks,Loot Container,,Storage Building,,
cntStorageBuildingInsecure,blocks,Loot Container,,Storage Building Insecure,,
cntStorageChest,blocks,Loot Container,,Storage Chest,,
cntStorageExplosives,blocks,Loot Container,,Storage Explosives,,
cntStorageExplosivesInsecure,blocks,Loot Container,,Storage Explosives Insecure,,
cntStorageFood,blocks,Loot Container,,Storage Food,,
cntStorageFoodInsecure,blocks,Loot Container,,Storage Food Insecure,,
cntStorageHealth,blocks,Loot Container,,Storage Health,,
cntStorageHealthInsecure,blocks,Loot Container,,Storage Health Insecure,,
cntStorageWeapons,blocks,Loot Container,,Storage Weapons,,
